what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369903546444
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369903567615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369903570487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369903576121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369903591578
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1369903596041
started,bundle,org.eclipse.mylyn.context.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.context.ui",1369903596104
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1369903597495
started,bundle,com.google.gdt.eclipse.maven,3.1.3.v201212122040-rel-r37,"com.google.gdt.eclipse.maven",1369903601956
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369903601972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903608929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903624043
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369903629068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903629285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903632143
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369903665230
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369903685924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369903699336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369903725010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369903762364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369903762666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369903763198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369903763587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369903764036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369903764466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369903767028
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1369903771414
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369903774883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903775183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903779794
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369903812787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369903815814
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1369903818456
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369903821372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903821707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903824651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903825242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903831184
opened,view,com.android.ide.eclipse.ddms,22.0.0.v201305140200--675183,"com.android.ide.eclipse.ddms.views.LogCatView",1369903831415
activated,view,com.android.ide.eclipse.ddms,22.0.0.v201305140200--675183,"com.android.ide.eclipse.ddms.views.LogCatView",1369903831439
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369903854342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369903864343
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1369903866972
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1369903869994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903870289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903872234
activated,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.CommonXmlEditor",1369903893592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369903923441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369903948023
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1369903950621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369903955474
error,log,,,"Failed to load properties file for project 'TestSampleTesting'",1369904021228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369904021652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1369904021822
executed,command,,,"com.android.ide.eclipse.adt.junit.launchShortcut.run",1369904037594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369904038086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369904041251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369904055922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369904195399
opened,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1369904196054
activated,editor,com.android.ide.eclipse.adt,22.0.0.v201305140200--675183,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1369904196121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369904873458
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1369905858490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369905858955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369905865326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369905885882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1369905885997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369905892215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369905938419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369905944661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369905952069
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1369905952403
