what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.ide.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.ide.ui",1369929693940
stopped,bundle,org.eclipse.mylyn.resources.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.resources.ui",1369929693940
stopped,bundle,com.microsoft.tfs.checkinpolicies.build,11.0.0.201208021316,"com.microsoft.tfs.checkinpolicies.build",1369929693941
stopped,bundle,com.microsoft.tfs.checkinpolicies.forbiddenpatterns,11.0.0.201208021316,"com.microsoft.tfs.checkinpolicies.forbiddenpatterns",1369929693941
stopped,bundle,com.microsoft.tfs.checkinpolicies.workitempolicy,11.0.0.201208021316,"com.microsoft.tfs.checkinpolicies.workitempolicy",1369929693942
stopped,bundle,com.microsoft.tfs.checkinpolicies.workitemquerypolicy,11.0.0.201208021316,"com.microsoft.tfs.checkinpolicies.workitemquerypolicy",1369929693942
stopped,bundle,com.microsoft.tfs.client.common.ui.teambuild,11.0.0.201208021316,"com.microsoft.tfs.client.common.ui.teambuild",1369929693943
stopped,bundle,com.microsoft.tfs.client.common.ui.vcexplorer,11.0.0.201208021316,"com.microsoft.tfs.client.common.ui.vcexplorer",1369929693943
stopped,bundle,com.microsoft.tfs.client.common.ui,11.0.0.201208021316,"com.microsoft.tfs.client.common.ui",1369929693943
stopped,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1369929693943
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1369929693944
stopped,bundle,org.eclipse.wst.common.snippets,1.2.100.v201103281740,"org.eclipse.wst.common.snippets",1369929693945
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1369929693945
stopped,bundle,com.aptana.interactive_console,2.7.1.2012100913,"com.aptana.interactive_console",1369929693945
stopped,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1369929693947
stopped,bundle,org.eclipse.m2e.discovery,1.2.0.20120903-1050,"org.eclipse.m2e.discovery",1369929693948
